id,assignment
4,0
5,1
29,2
45,2
48,1
64,1
76,2
92,2
97,1
119,0
123,1
155,2
165,1
167,3
192,2
200,2
207,1
213,1
235,0
251,1
255,2
256,2
260,2
273,1
298,3
300,1
309,1
314,1
321,3
336,3
360,3
438,1
452,2
456,2
475,2
477,2
479,1
490,1
2,1
12,2
15,2
19,1
30,1
31,1
33,1
42,1
54,1
57,1
60,1
65,1
86,3
105,1
130,1
137,0
149,2
156,1
164,1
179,1
186,1
188,0
193,1
202,1
204,3
206,1
223,2
242,2
252,1
287,1
290,1
356,1
359,2
362,0
388,2
402,1
432,1
447,1
478,1
481,2
482,1
485,1
486,2
7,1
21,2
49,1
53,3
59,1
61,0
63,3
68,1
104,2
120,2
146,2
157,1
158,1
169,1
175,1
187,1
199,1
208,1
215,2
221,1
237,1
258,1
259,2
271,1
276,3
283,1
295,1
304,2
317,2
333,2
342,2
357,1
361,1
367,3
379,2
403,1
408,1
423,3
430,1
443,2
449,0
453,3
462,0
491,1
13,1
24,2
27,2
28,1
46,2
52,2
55,1
56,2
83,2
85,1
95,1
107,3
112,2
113,3
115,2
118,2
121,1
143,0
153,2
159,2
197,2
198,1
205,1
226,2
229,2
243,1
254,3
265,2
267,2
278,2
372,3
383,2
431,1
446,1
454,1
487,2
67,3
71,1
96,1
111,3
184,2
231,1
245,1
347,1
375,2
385,1
390,2
418,1
440,3
461,3
463,1
469,0
472,0
488,3
496,2
11,1
14,2
41,1
44,2
62,2
72,1
74,1
93,2
162,1
168,1
177,1
190,2
230,0
264,2
289,1
296,2
346,2
365,3
397,1
401,2
442,2
444,3
464,1
466,1
467,2
468,2
25,2
70,3
81,3
129,2
136,1
196,2
234,1
274,1
299,2
305,1
352,2
374,2
480,1
34,3
82,2
87,0
127,1
182,1
183,1
220,1
236,2
239,2
281,2
308,1
358,1
398,1
424,1
10,2
18,3
22,2
36,1
103,2
141,1
147,2
160,2
161,0
218,1
222,0
257,3
293,3
312,2
319,2
350,1
382,2
394,2
409,1
411,1
425,3
429,1
433,2
445,2
459,3
484,1
6,3
116,2
135,2
279,1
291,1
328,0
341,2
364,0
366,2
465,2
471,3
84,1
131,2
203,3
241,1
269,2
330,2
335,2
351,1
381,2
437,1
476,1
1,1
40,1
69,2
100,1
117,3
166,1
191,1
201,1
266,1
268,1
270,1
355,1
363,1
384,1
415,1
455,1
23,2
43,1
51,2
108,2
145,2
148,3
216,1
263,2
349,1
378,0
400,1
470,0
489,2
106,1
114,2
217,2
225,0
227,2
233,2
247,2
250,2
275,1
277,1
280,2
337,2
376,0
404,2
412,2
458,3
473,2
66,1
109,2
110,2
163,3
176,3
307,1
331,2
389,2
435,1
3,2
20,0
91,1
172,1
240,2
272,1
313,2
370,1
406,2
460,1
16,1
37,2
79,3
170,3
173,2
195,2
284,1
324,3
369,3
371,2
396,1
413,1
0,2
80,1
395,2
434,1
495,3
39,1
75,3
94,1
125,0
142,1
181,2
232,2
246,1
340,2
405,0
410,3
8,3
124,0
126,1
189,2
224,3
253,1
286,1
320,2
327,3
344,2
345,2
348,1
387,3
474,1
497,1
58,2
73,1
140,1
144,0
315,3
441,1
451,2
138,2
211,3
292,2
303,3
306,1
399,0
427,3
47,2
151,1
311,1
407,2
436,2
99,3
132,1
171,3
326,2
417,2
494,1
78,1
285,3
288,2
419,1
439,2
448,3
35,1
98,3
134,0
248,1
294,0
32,1
50,0
88,1
325,3
428,2
89,1
302,3
450,1
174,2
139,1
194,1
329,2
334,1
414,1
128,2
210,1
420,1
9,0
185,1
180,1
249,3
391,0
483,3
122,1
133,1
323,2
338,1
38,2
102,1
154,2
244,0
310,2
498,1
238,2
322,1
386,1
421,1
493,1
17,2
178,2
101,2
262,1
212,1
214,2
297,1
316,2
499,1
332,0
393,0
353,2
354,1
150,2
343,1
377,0
26,1
209,0
368,3
380,0
457,1
228,1
282,2
152,1
339,3
77,2
261,1
422,1
416,1
392,1
301,0
90,0
318,1
492,1
426,3
373,1
219,2
510,2
515,6
516,5
524,5
531,2
557,1
560,4
565,3
583,6
585,6
588,3
595,4
643,6
645,6
654,3
656,2
678,5
699,1
704,4
706,3
714,6
720,3
735,5
738,3
744,6
754,3
759,6
760,5
767,3
784,6
789,5
794,3
799,3
814,5
845,3
856,6
870,5
889,2
893,6
898,6
904,0
907,6
932,5
936,2
937,3
953,3
961,3
963,5
971,0
989,3
999,3
507,5
518,6
519,2
555,4
564,4
604,3
635,0
676,1
691,0
734,6
737,2
748,3
761,2
775,4
791,6
795,6
818,2
823,6
872,0
880,6
906,2
912,1
921,6
958,6
508,3
509,3
511,6
520,3
522,0
528,1
533,0
537,3
546,6
548,4
571,6
573,1
589,5
594,2
600,3
601,4
618,6
625,4
632,6
662,3
694,5
700,5
711,5
719,6
740,6
753,3
762,2
788,6
811,3
816,5
817,2
824,2
835,5
837,6
843,1
849,3
855,3
861,2
876,2
879,2
891,5
901,1
911,5
914,2
924,6
941,5
943,5
972,5
984,3
993,5
505,6
539,6
542,2
549,5
568,3
584,2
639,2
644,6
685,2
739,3
751,3
776,0
796,4
813,1
820,2
831,6
875,3
877,6
896,3
944,2
977,5
563,4
592,3
598,6
605,3
621,0
670,1
693,5
708,5
718,3
752,5
764,6
770,5
774,3
779,6
787,3
806,3
864,3
922,3
933,3
938,3
506,3
514,4
566,5
607,3
609,0
615,0
636,6
647,6
660,2
692,5
698,5
730,1
731,0
749,0
750,6
836,2
860,6
863,3
905,6
908,3
910,3
927,0
942,3
974,6
995,5
593,0
638,5
729,2
805,4
827,0
902,2
930,4
956,2
552,0
556,6
576,3
658,6
666,6
679,2
680,3
712,0
768,0
783,5
804,5
838,6
846,5
848,6
854,5
873,3
878,3
909,2
940,2
962,2
970,5
987,3
503,6
521,2
532,2
541,3
558,3
561,3
602,1
616,5
617,6
619,6
629,0
651,5
687,6
690,3
701,2
703,5
705,3
716,2
741,1
790,6
798,4
834,4
841,6
844,6
857,5
862,2
916,4
923,1
934,3
957,2
968,4
990,0
996,5
527,6
534,2
586,5
613,0
