tree_idx,elbo
0,-311397.26532412856
27,-313079.8328831804
28,-313636.1035795388
29,-315652.30214798433
24,-315825.7388612471
25,-316181.6113592646
12,-317425.7324718096
26,-318901.24560730474
17,-319660.883492097
21,-319931.2871312096
9,-320524.459137681
16,-324000.2592195747
23,-326357.17318252864
13,-327033.6940460001
20,-328336.0256837525
22,-329167.22499027447
19,-331468.04967216944
1,-332503.59951519634
5,-333530.2727360201
11,-334742.42163458787
3,-335000.747423095
15,-335257.8060163272
7,-335876.5821167018
2,-337202.31252876105
14,-337826.2384920178
10,-338114.6441463342
4,-339699.48303902574
6,-343082.04602087074
18,-344814.04354917357
8,-347779.17964609014
